Input File Name,Date Created,Time Range[min],m/z Range,Noise Limit[cts],a
GrobMix_VF200_GC.csv,20240701_093240,[2-15],[50-200],0.0,1.0
RT(ms),RT(min),TIC[cts],TIC[cts] denoised,Difference,x,y,H,S,L,R,G,B
146740.0,2.445666551589966,14833.0,14833.0,9.37942886352539,75.0,4.0,0.5639733438250351,0.7442409931612047,0.9834901690483093,247.65673339629433,251.5179116089054,253.92325281834343
147019.0,2.4503166675567627,14688.0,14688.0,8.612212181091309,76.0,4.0,0.5628787055125736,0.7420888667791858,0.9836515784263611,247.7374971807235,251.5905073163466,253.92480781672066
147299.0,2.4549832344055176,14845.0,14845.0,8.184928894042969,56.0,229.0,0.9023273637945367,0.688556430300795,0.9834768176078796,253.6877600787168,247.88541690130182,251.28579782714323
147578.0,2.4596333503723145,14961.0,14961.0,8.617086410522461,127.0,8.0,0.5006659163780023,0.6627450980392157,0.9833477139472961,247.9394307136536,253.5454148465997,253.56790339946744
147857.0,2.4642832279205322,14098.0,14098.0,8.45419692993164,69.0,4.0,0.5704060442831853,0.7578780145691787,0.9843082427978516,247.9660302761184,251.46903707490526,254.0311735507859
148137.0,2.468950033187866,14401.0,14401.0,9.555828094482422,77.0,4.0,0.5617777520620542,0.7399720476448116,0.9839709997177124,247.88804682706785,251.69495822347315,253.93716302896547
148416.0,2.473599910736084,15546.0,15546.0,10.136585235595703,76.0,5.0,0.5633396726488251,0.736973246157356,0.982696533203125,247.33580698255426,251.36780275209827,253.8394249510395
148695.0,2.478250026702881,18042.0,18042.0,10.891923904418945,53.0,233.0,0.9021437426445024,0.7162742682618767,0.979918360710144,253.54709216048602,246.21127180168745,250.51840735135318
148975.0,2.4829165935516357,21074.0,21074.0,14.354141235351562,74.0,4.0,0.5650616185125749,0.7464281213938389,0.9765436053276062,244.55394864299282,249.99754563953633,253.48329007408634
149254.0,2.4875667095184326,22550.0,22550.0,12.222232818603516,132.0,188.0,0.011816212322553248,0.336455962020418,0.9749007821083069,250.75311872055423,246.75162326828212,246.44628015468228
149533.0,2.4922165870666504,20809.0,20809.0,11.94039535522461,132.0,188.0,0.011816212322553248,0.336455962020418,0.9768385887145996,251.08100282574676,247.3884462557906,247.10667741869904
149813.0,2.4968833923339844,20361.0,20361.0,11.41014289855957,58.0,228.0,0.9037069518519272,0.6776602213681718,0.9773372411727905,253.13719729079494,245.30479570732822,249.83003064407902
150092.0,2.501533269882202,18371.0,18371.0,12.035539627075195,64.0,92.0,0.6688677875801591,0.4034644281599869,0.9795522093772888,247.73764157489063,247.68207457277322,251.88955220964408
150371.0,2.506183385848999,17529.0,17529.0,9.737993240356445,70.0,28.0,0.5833976779457165,0.6373363447202918,0.9804893732070923,246.85390811914314,250.0223418176925,253.19567221647392
150651.0,2.510849952697754,16753.0,16753.0,11.191564559936523,166.0,75.0,0.39929489517376454,0.3610612747676915,0.9813531041145325,248.5282101894946,251.96187290891697,249.88714872433277
150930.0,2.515500068664551,17002.0,17002.0,12.818002700805664,78.0,6.0,0.561573182839118,0.7276068751089989,0.9810759425163269,246.6632003874934,251.0912070754164,253.68553029583333
151209.0,2.5201499462127686,16323.0,16323.0,10.285988807678223,70.0,29.0,0.584095881235612,0.6325406318202006,0.9818317294120789,247.43658781410525,250.3402752113951,253.29759418605497
151489.0,2.5248167514801025,15342.0,15342.0,10.183996200561523,71.0,30.0,0.5835881721881798,0.6249582838827067,0.9829236268997192,247.9241595483669,250.63720274399452,253.3668901704899
151768.0,2.5294666290283203,16400.0,16400.0,10.185495376586914,128.0,7.0,0.4993396098352973,0.6682909854359232,0.9817460179328918,247.23449679862927,253.45597234714558,253.4313207395725
152047.0,2.534116744995117,15858.0,15858.0,10.621370315551758,66.0,92.0,0.6666803343968339,0.39382000271768997,0.9823492765426636,248.72679821073348,248.72650748859516,252.27162354816326
152327.0,2.538783311843872,15053.0,15053.0,10.809536933898926,66.0,93.0,0.6686351050805992,0.39107694443752145,0.983245313167572,249.09616776328397,249.0567000662153,252.39840964924642
152606.0,2.543433427810669,15266.0,15266.0,11.804617881774902,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9830082058906555,247.4134855923095,251.29625297013095,253.9206994119248
152885.0,2.5480833053588867,14575.0,14575.0,10.871379852294922,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9837773442268372,247.75689129928784,251.46390412043675,253.9695542563991
153165.0,2.5527501106262207,14735.0,14735.0,9.499296188354492,55.0,230.0,0.9020210515316711,0.696285525669204,0.9835992455482483,253.72980763817972,247.9058075914269,251.32958399418894
153444.0,2.5573999881744385,14896.0,14896.0,9.575098037719727,128.0,6.0,0.4993450450836778,0.6738368736250816,0.9834200143814087,247.9231912203942,253.62101611412425,253.5986252035653
153723.0,2.5620501041412354,15005.0,15005.0,10.201078414916992,75.0,5.0,0.5644405292045783,0.7391402676459123,0.9832987189292908,247.59330304000753,251.45483848802067,253.88904361393077
154003.0,2.5667166709899902,14222.0,14222.0,10.55046272277832,75.0,4.0,0.5639733438250351,0.7442409931612047,0.9841702580451965,247.95922436867332,251.66134917697627,253.9676072343769
154282.0,2.571366548538208,14314.0,14314.0,10.079970359802246,54.0,230.0,0.900990855520913,0.69950276182613,0.9840678572654724,253.77917095307106,248.09543625231987,251.4718865133247
154561.0,2.576016664505005,14154.0,14154.0,8.600995063781738,69.0,27.0,0.5838978826526184,0.6449162387607409,0.9842458963394165,248.3918838607045,250.96515182053528,253.57352327239792
154841.0,2.5806832313537598,13787.0,13787.0,6.60552978515625,56.0,227.0,0.9008312268946206,0.6795185667122924,0.984654426574707,253.74591730168032,248.42784025142026,251.59216330954527
155120.0,2.5853333473205566,13591.0,13591.0,9.955183982849121,77.0,5.0,0.5622323763488278,0.7348416908761709,0.984872579574585,248.3078616944975,251.86027273583377,253.97715388854084
155399.0,2.5899832248687744,14212.0,14212.0,10.03311824798584,70.0,29.0,0.584095881235612,0.6325406318202006,0.9841813445091248,248.414727553447,250.94289501818417,253.51775814620663
